Rank,Model,Vision,Weighted Total,Total $/1M,Blended $/1M,Effective $/1M,Total ¥/1M,Effective ¥/1M,Value Score,Cache Hit Rate,Plan,Plan Monthly,Plan Multiplier,Plan Discount,Plan URL,AA Cost/Task,Creator,Reasoning,Orig Intelligence Index,Terminal-Bench v4.0,Terminal-Bench v4.0 (norm),DeepSWE,DeepSWE (norm),LiveBench Coding,LiveBench Coding (norm),tau3-Banking,tau3-Banking (norm),LiveBench Data Analysis,LiveBench Data Analysis (norm),LiveBench Agentic Coding,LiveBench Agentic Coding (norm),LiveBench Instruction Following,LiveBench Instruction Following (norm),LCR,LCR (norm),HLE,HLE (norm),SciCode,SciCode (norm),LiveBench Reasoning,LiveBench Reasoning (norm),Omniscience Index,Omniscience Index (norm),Price 1M In,Price 1M Out,Cache Hit,Imputed
1,claude-fable-5.1,Yes,70.5,11.856,8.541,0.214,79.493,1.435,329.44,0.9,Claude Max 20x,200.0,40.0,0.025,https://claude.com/pricing,7.629706364004841,Anthropic,,,0.52,52.0,74.0*,74.0,86.4,86.4,0.472,47.2,80.3,80.3,66.1,66.1,73.0,73.0,0.853,85.3,0.591,59.1,0.631,63.1,91.7,91.7,43.45,93.5,10.0,50.0,0.25,DeepSWE(reg)
2,gpt-6-astra,Yes,69.6,12.175,9.115,0.13,81.632,0.872,535.73,0.9,ChatGPT Pro 20x,200.0,70.0,0.0143,https://chatgpt.com/pricing,3.2575003134834164,OpenAI,,,0.591,59.1,74.0,74.0,80.4,80.4,0.414,41.4,83.0,83.0,57.3,57.3,75.6,75.6,0.807,80.7,0.547,54.7,0.565,56.5,92.7,92.7,43.4,93.4,10.0,50.0,1.0,
3,claude-fable-5,Yes,67.1,12.175,9.115,0.228,81.632,1.529,294.3,0.9,Claude Max 20x,200.0,40.0,0.025,https://claude.com/pricing,8.745961651687406,Anthropic,,,0.424,42.4,70.0,70.0,86.0,86.0,0.381,38.1,80.5,80.5,62.2,62.2,75.8,75.8,0.823,82.3,0.555,55.5,0.61,61.0,89.7,89.7,43.3,93.3,10.0,50.0,1.0,
4,claude-opus-5,Yes,65.9,6.088,4.558,0.114,40.819,0.764,578.5,0.9,Claude Max 20x,200.0,40.0,0.025,https://claude.com/pricing,5.858396237036018,Anthropic,,,0.49,49.0,74.0,74.0,81.4,81.4,0.421,42.1,74.6,74.6,65.2,65.2,63.8,63.8,0.793,79.3,0.549,54.9,0.564,56.4,91.2,91.2,37.067,87.1,5.0,25.0,0.5,
5,gpt-5.6-sol,Yes,63.9,4.87,3.646,0.052,32.653,0.349,1228.82,0.9,ChatGPT Pro 20x,200.0,70.0,0.0143,https://chatgpt.com/pricing,1.98845538085375,OpenAI,,,0.399,39.9,73.0,73.0,83.9,83.9,0.443,44.3,79.8,79.8,56.2,56.2,71.8,71.8,0.84,84.0,0.495,49.5,0.571,57.1,91.7,91.7,21.967,72.0,4.0,20.0,0.4,
6,muse-spark-1.3,Yes,63.4,1.232,0.858,0.858,8.26,5.753,73.94,0.9,,,,,,1.6048932100125866,Meta,,,0.333,33.3,66.893*,66.9,81.1,81.1,0.505,50.5,79.6,79.6,64.1,64.1,78.0,78.0,0.83,83.0,0.487,48.7,0.588,58.8,89.7,89.7,25.0,75.0,1.25,4.25,0.15,DeepSWE(reg)
7,glm-5.3,No,61.2,1.365,0.978,0.028,9.152,0.188,2184.42,0.9,GLM Coding Plan Max,149.7,34.4,0.029,https://bigmodel.cn/glm-coding,2.0056375150449584,Z.AI,,,0.419,41.9,69.0,69.0,79.0,79.0,0.503,50.3,70.2,70.2,60.9,60.9,69.3,69.3,0.797,79.7,0.423,42.3,0.59,59.0,85.8,85.8,14.3,64.3,1.4,4.4,0.26,
8,gemini-3.8-flash,Yes,60.1,0.913,0.684,0.342,6.122,2.293,175.87,0.9,GitHub Copilot Max,100.0,2.0,0.5,https://github.com/features/copilot/plans,1.2427947606950427,Google,,,0.197,19.7,74.0,74.0,72.5,72.5,0.449,44.9,54.0,54.0,54.2,54.2,81.4,81.4,0.813,81.3,0.478,47.8,0.566,56.6,89.3,89.3,29.55,79.5,0.75,3.75,0.075,
9,grok-4.6,Yes,59.6,1.962,1.452,0.272,13.155,1.824,219.26,0.9,SuperGrok Heavy,300.0,5.3,0.1875,https://x.ai/pricing,1.8589423352127492,xAI,,,0.212,21.2,67.0,67.0,76.8,76.8,0.507,50.7,73.9,73.9,57.0,57.0,71.9,71.9,0.803,80.3,0.429,42.9,0.565,56.5,90.5,90.5,30.483,80.5,2.0,6.0,0.5,
10,kimi-k3,Yes,59.1,3.652,2.734,0.263,24.486,1.763,224.8,0.9,Kimi Allegro,97.08,10.4,0.0963,https://www.kimi.com/membership/pricing,2.0001323004425493,Moonshot AI,,,0.126,12.6,69.0,69.0,81.4,81.4,0.46,46.0,78.7,78.7,62.2,62.2,71.4,71.4,0.887,88.7,0.469,46.9,0.595,59.5,90.7,90.7,19.7,69.7,3.0,15.0,0.3,
11,claude-opus-4.7,Yes,58.0,6.088,4.558,0.114,40.819,0.764,509.05,0.9,Claude Max 20x,200.0,40.0,0.025,https://claude.com/pricing,,Anthropic,,,0.277*,27.7,63.29*,63.3,82.1,82.1,0.346,34.6,78.3,78.3,50.7,50.7,66.7,66.7,0.787,78.7,0.423,42.3,0.538*,53.8,87.2,87.2,27.267,77.3,5.0,25.0,0.5,"Terminal-Bench v4.0(reg), DeepSWE(reg), SciCode(reg)"
12,gpt-5.6-terra,Yes,58.0,2.735,2.123,0.03,18.338,0.201,1934.84,0.9,ChatGPT Pro 20x,200.0,70.0,0.0143,https://chatgpt.com/pricing,1.3987235612691513,OpenAI,,,0.354,35.4,70.0,70.0,78.2,78.2,0.402,40.2,79.3,79.3,54.9,54.9,64.6,64.6,0.83,83.0,0.429,42.9,0.55,55.0,90.6,90.6,0.05,50.0,2.0,12.0,0.2,
13,gemini-3.7-flash,Yes,57.9,0.913,0.684,0.342,6.122,2.293,169.37,0.9,GitHub Copilot Max,100.0,2.0,0.5,https://github.com/features/copilot/plans,0.9253359372385677,Google,,,0.136,13.6,65.0,65.0,78.9,78.9,0.328,32.8,68.0,68.0,58.3,58.3,79.9,79.9,0.817,81.7,0.479,47.9,0.572,57.2,87.8,87.8,26.483,76.5,0.75,3.75,0.075,
14,gpt-5.5,Yes,57.9,6.838,5.308,0.076,45.848,0.51,761.43,0.9,ChatGPT Pro 20x,200.0,70.0,0.0143,https://chatgpt.com/pricing,2.6339796841243297,OpenAI,,,0.146,14.6,67.0,67.0,82.1,82.1,0.39,39.0,81.6,81.6,54.0,54.0,70.7,70.7,0.843,84.3,0.458,45.8,0.558,55.8,89.7,89.7,20.517,70.5,5.0,30.0,0.5,
15,claude-opus-4.8,Yes,57.4,6.088,4.558,0.114,40.819,0.764,503.91,0.9,Claude Max 20x,200.0,40.0,0.025,https://claude.com/pricing,4.080976976477826,Anthropic,,,0.217,21.7,59.0,59.0,81.8,81.8,0.342,34.2,66.0,66.0,50.5,50.5,72.0,72.0,0.777,77.7,0.487,48.7,0.544,54.4,89.2,89.2,28.75,78.8,5.0,25.0,0.5,
16,deepseek-v4.1-flash,Yes,56.7,0.31,0.21,0.21,2.079,1.408,270.16,0.9,Poe Premium,19.99,,1.0,https://poe.com,0.26522527009606844,DeepSeek,,,0.268,26.8,62.224*,62.2,80.0,80.0,0.503*,50.3,79.3,79.3,77.3,77.3,70.0,70.0,0.84,84.0,0.392,39.2,0.519,51.9,86.7,86.7,-5.3,44.7,0.3,1.2,0.006,"DeepSWE(reg), tau3-Banking(reg)"
17,glm-5.3-flash,Yes,55.5,0.15,0.108,0.009,1.006,0.06,6171.9,0.9,GLM Coding Plan Max,149.7,34.4,0.087,https://bigmodel.cn/glm-coding,0.2532595604307378,Z.AI,,,0.328,32.8,63.0,63.0,79.0,79.0,0.472,47.2,76.4,76.4,56.8,56.8,52.8,52.8,0.8,80.0,0.399,39.9,0.516,51.6,77.6,77.6,7.467,57.5,0.15,0.5,0.026,
18,qwen3.8-max,Yes,55.4,1.856,1.261,0.18,12.444,1.207,307.56,0.9,Command Code GOAT,10.0,7.0,0.1429,https://commandcode.ai,2.6699848505343478,Alibaba,,,0.187,18.7,57.0,57.0,72.9,72.9,0.513,51.3,78.4,78.4,64.6,64.6,74.1,74.1,0.783,78.3,0.43,43.0,0.532,53.2,88.2,88.2,3.4,53.4,2.0,6.0,0.25,
19,muse-spark-1.2,Yes,55.1,1.232,0.858,0.858,8.26,5.753,64.21,0.9,,,,,,0.9746948879931989,Meta,,,0.071,7.1,55.0,55.0,77.5,77.5,0.348,34.8,76.5,76.5,57.6,57.6,74.3,74.3,0.79,79.0,0.455,45.5,0.574,57.4,90.0,90.0,27.2,77.2,1.25,4.25,0.15,
