Rank,Model,Vision,Weighted Total,Total $/1M,Blended $/1M,Effective $/1M,Total ¥/1M,Effective ¥/1M,Value Score,Cache Hit Rate,Plan,Plan Monthly,Plan Multiplier,Plan Discount,Plan URL,AA Cost/Task,Creator,Reasoning,Orig Intelligence Index,LiveBench StoryGen,LiveBench StoryGen (norm),LiveBench Language,LiveBench Language (norm),AA-Briefcase,AA-Briefcase (norm),LiveBench Data Analysis,LiveBench Data Analysis (norm),LiveBench Summarize,LiveBench Summarize (norm),LiveBench Instruction Following,LiveBench Instruction Following (norm),LiveBench Simplify,LiveBench Simplify (norm),Omniscience Index,Omniscience Index (norm),LCR,LCR (norm),Omniscience Non-Halluc.,Omniscience Non-Halluc. (norm),LiveBench Theory of Mind,LiveBench Theory of Mind (norm),CritPt,CritPt (norm),Price 1M In,Price 1M Out,Cache Hit,Imputed
1,gpt-6-astra,Yes,77.7,12.175,9.88,0.141,81.667,0.946,550.72,0.8,ChatGPT Pro 20x,200.0,70.0,0.0143,https://chatgpt.com/pricing,3.2575003134834164,OpenAI,,,74.0,74.0,89.4,89.4,1562.01,89.4,83.0,83.0,79.5,79.5,75.6,75.6,70.5,70.5,43.4,93.4,0.807,80.7,0.487,48.7,84.6,84.6,0.317,31.7,10.0,50.0,1.0,
2,claude-fable-5.1,Yes,77.1,11.856,8.956,0.224,79.528,1.503,344.33,0.85,Claude Max 20x,200.0,40.0,0.025,https://claude.com/pricing,7.629706364004841,Anthropic,,,78.1,78.1,89.5,89.5,1661.64,97.0,80.3,80.3,72.2,72.2,73.0,73.0,70.2,70.2,43.45,93.5,0.853,85.3,0.274,27.4,80.8,80.8,0.297,29.7,10.0,50.0,0.25,
3,claude-fable-5,Yes,76.8,11.917,9.059,0.226,79.937,1.516,339.69,0.85,Claude Max 20x,200.0,40.0,0.025,https://claude.com/pricing,43.24568142638201,Anthropic,,,71.7,71.7,90.7,90.7,1529.62,86.9,80.5,80.5,81.7,81.7,75.8,75.8,72.0,72.0,43.3,93.3,0.823,82.3,0.364,36.4,84.6,84.6,0.286,28.6,10.0,50.0,0.3929,
4,muse-spark-1.3,Yes,76.7,1.232,1.139,1.139,8.264,7.64,67.34,0.6,,,,,,1.6048932100125866,Meta,,,77.5,77.5,82.8,82.8,1589.18,91.5,79.6,79.6,83.4,83.4,78.0,78.0,72.5,72.5,25.0,75.0,0.83,83.0,0.671,67.1,84.6,84.6,0.249,24.9,1.25,4.25,0.15,
5,grok-4.6,Yes,74.5,1.962,1.771,0.332,13.161,2.227,224.36,0.65,SuperGrok Heavy,300.0,5.3,0.1875,https://x.ai/pricing,1.8589423352127492,xAI,,,78.3,78.3,83.7,83.7,1534.13,87.2,73.9,73.9,68.1,68.1,71.9,71.9,69.3,69.3,30.483,80.5,0.803,80.3,0.657,65.7,86.5,86.5,0.171,17.1,2.0,6.0,0.5,
6,gemini-3.8-flash,Yes,72.9,0.913,0.741,0.37,6.124,2.482,197.16,0.8,GitHub Copilot Max,100.0,2.0,0.5,https://github.com/features/copilot/plans,1.2427947606950427,Google,,,82.8,82.8,87.8,87.8,1201.59,61.7,54.0,54.0,87.5,87.5,81.4,81.4,75.4,75.4,29.55,79.5,0.813,81.3,0.448,44.8,76.9,76.9,0.183,18.3,0.75,3.75,0.075,
7,kimi-k3,Yes,72.7,3.652,2.734,0.602,24.497,4.038,120.78,0.9,Kimi 会员 Allegretto,27.6,4.5,0.22,https://www.kimi.com/membership/pricing,2.0001323004425493,Moonshot AI,,,75.4,75.4,85.5,85.5,1496.56,84.4,78.7,78.7,69.3,69.3,71.4,71.4,66.4,66.4,19.7,69.7,0.887,88.7,0.468,46.8,82.7,82.7,0.234,23.4,3.0,15.0,0.3,
8,gpt-5.6-sol,Yes,72.4,4.87,3.952,0.057,32.667,0.382,1269.96,0.8,ChatGPT Pro 20x,200.0,70.0,0.0143,https://chatgpt.com/pricing,1.98845538085375,OpenAI,,,75.9,75.9,87.7,87.7,1475.0,82.7,79.8,79.8,69.4,69.4,71.8,71.8,70.5,70.5,21.967,72.0,0.84,84.0,0.078,7.8,84.6,84.6,0.323,32.3,4.0,20.0,0.4,
9,muse-spark-1.2,Yes,72.0,1.232,1.139,1.139,8.264,7.64,63.18,0.6,,,,,,0.9746948879931989,Meta,,,73.7,73.7,78.6,78.6,1343.5,72.6,76.5,76.5,80.6,80.6,74.3,74.3,68.7,68.7,27.2,77.2,0.79,79.0,0.667,66.7,80.8,80.8,0.177,17.7,1.25,4.25,0.15,
10,gemini-3.7-flash,Yes,71.9,0.913,0.741,0.37,6.124,2.482,194.3,0.8,GitHub Copilot Max,100.0,2.0,0.5,https://github.com/features/copilot/plans,0.9253359372385677,Google,,,82.2,82.2,85.5,85.5,1115.67,55.1,68.0,68.0,84.8,84.8,79.9,79.9,74.6,74.6,26.483,76.5,0.817,81.7,0.355,35.5,82.7,82.7,0.143,14.3,0.75,3.75,0.075,
11,claude-opus-5,Yes,71.5,6.088,4.749,0.119,40.837,0.798,600.77,0.85,Claude Max 20x,200.0,40.0,0.025,https://claude.com/pricing,9.379583082072074,Anthropic,,,61.3,61.3,88.7,88.7,1644.9,95.8,74.6,74.6,66.4,66.4,63.8,63.8,61.6,61.6,37.067,87.1,0.793,79.3,0.392,39.2,78.8,78.8,0.291,29.1,5.0,25.0,0.5,
12,claude-opus-4.8,Yes,71.4,6.088,4.749,0.119,40.837,0.798,599.73,0.85,Claude Max 20x,200.0,40.0,0.025,https://claude.com/pricing,5.843424809565982,Anthropic,,,80.6,80.6,79.7,79.7,1315.95,70.5,66.0,66.0,77.7,77.7,72.0,72.0,62.0,62.0,28.75,78.8,0.777,77.7,0.607,60.7,80.8,80.8,0.209,20.9,5.0,25.0,0.5,
13,glm-5.3,No,71.4,1.972,1.65,0.048,13.228,0.322,1488.29,0.7,GLM Coding Plan Max,149.7,34.4,0.029,https://bigmodel.cn/glm-coding,2.147691035496192,Z.AI,,,72.1,72.1,79.9,79.9,1515.27,85.8,70.2,70.2,74.5,74.5,69.3,69.3,65.8,65.8,14.3,64.3,0.797,79.7,0.704,70.4,88.5,88.5,0.191,19.1,2.1,6.6,0.21,
14,grok-4.5,Yes,70.2,1.877,1.661,0.311,12.591,2.086,225.82,0.65,SuperGrok Heavy,300.0,5.3,0.1875,https://x.ai/pricing,1.0364552526545159,xAI,,,73.6,73.6,82.8,82.8,1283.38,68.0,73.0,73.0,73.2,73.2,71.5,71.5,70.2,70.2,25.317,75.3,0.793,79.3,0.459,45.9,82.7,82.7,0.154,15.4,2.0,6.0,0.3,
15,qwen3.8-max,Yes,69.9,1.856,1.559,1.041,12.45,6.983,67.15,0.7,OpenCode Go,10.0,6.0,0.668,https://opencode.ai/go,2.6699848505343478,Alibaba,,,76.5,76.5,79.7,79.7,1387.89,76.0,78.4,78.4,79.2,79.2,74.1,74.1,67.3,67.3,3.4,53.4,0.783,78.3,0.583,58.3,78.8,78.8,0.2,20.0,2.0,6.0,0.25,
