Rank,Model,Vision,Weighted Total,Total $/1M,Blended $/1M,Effective $/1M,Total ¥/1M,Effective ¥/1M,Value Score,Cache Hit Rate,Plan,Plan Monthly,Plan Multiplier,Plan Discount,Plan URL,AA Cost/Task,Creator,Reasoning,Orig Intelligence Index,Terminal-Bench v2.1,Terminal-Bench v2.1 (norm),DeepSWE,DeepSWE (norm),LiveBench Coding,LiveBench Coding (norm),tau3-Banking,tau3-Banking (norm),BrowseComp,BrowseComp (norm),LiveBench Agentic Coding,LiveBench Agentic Coding (norm),LiveBench Instruction Following,LiveBench Instruction Following (norm),LCR,LCR (norm),IFBench,IFBench (norm),HLE,HLE (norm),SciCode,SciCode (norm),LiveBench Reasoning,LiveBench Reasoning (norm),Omniscience Index,Omniscience Index (norm),Price 1M In,Price 1M Out,Cache Hit,Imputed
1,claude-fable-5.1,Yes,76.0,11.856,8.956,0.224,79.585,1.504,339.19,0.85,Claude Max 20x,200.0,40.0,0.025,https://claude.com/pricing,6.116914552058163,Anthropic,,,0.914,91.4,74.0*,74.0,86.4,86.4,0.472,47.2,69.405*,69.4,66.1,66.1,73.0,73.0,0.853,85.3,0.734*,73.4,0.591,59.1,0.631,63.1,91.7,91.7,43.45,93.5,10.0,50.0,0.25,"DeepSWE(reg), BrowseComp(reg), IFBench(reg)"
2,gpt-6-astra,Yes,74.4,12.175,9.88,0.141,81.726,0.946,527.85,0.8,ChatGPT Pro 20x,200.0,70.0,0.0143,https://chatgpt.com/pricing,2.56731851528698,OpenAI,,,0.884,88.4,74.0,74.0,80.4,80.4,0.414,41.4,91.5,91.5,57.3,57.3,75.6,75.6,0.807,80.7,0.727*,72.7,0.547,54.7,0.565,56.5,92.7,92.7,43.4,93.4,10.0,50.0,1.0,IFBench(reg)
3,claude-opus-5,Yes,72.8,6.088,4.749,0.119,40.866,0.799,611.92,0.85,Claude Max 20x,200.0,40.0,0.025,https://claude.com/pricing,6.512122225316262,Anthropic,,,0.891,89.1,74.0,74.0,81.4,81.4,0.421,42.1,90.8,90.8,65.2,65.2,63.8,63.8,0.793,79.3,0.67*,67.0,0.549,54.9,0.564,56.4,91.2,91.2,37.067,87.1,5.0,25.0,0.5,IFBench(reg)
4,claude-fable-5,Yes,72.4,11.917,9.059,0.226,79.994,1.517,320.55,0.85,Claude Max 20x,200.0,40.0,0.025,https://claude.com/pricing,23.787741452472506,Anthropic,,,0.846,84.6,70.0,70.0,86.0,86.0,0.381,38.1,65.31*,65.3,62.2,62.2,75.8,75.8,0.823,82.3,0.635,63.5,0.555,55.5,0.61,61.0,89.7,89.7,43.3,93.3,10.0,50.0,0.3929,BrowseComp(reg)
5,muse-spark-1.3,Yes,71.2,1.232,1.139,1.139,8.27,7.646,62.54,0.6,,,,,,0.9587870562431213,Meta,,,0.858,85.8,67.722*,67.7,81.1,81.1,0.524,52.4,67.305*,67.3,64.1,64.1,78.0,78.0,0.843,84.3,0.74*,74.0,0.491,49.1,0.583,58.3,89.7,89.7,24.933,74.9,1.25,4.25,0.15,"DeepSWE(reg), BrowseComp(reg), IFBench(reg)"
6,kimi-k3,Yes,70.8,3.652,2.734,0.602,24.514,4.041,117.68,0.9,Kimi 会员 Allegretto,27.6,4.5,0.22,https://www.kimi.com/membership/pricing,1.576438869982937,Moonshot AI,,,0.85,85.0,69.0,69.0,81.4,81.4,0.46,46.0,91.2,91.2,62.2,62.2,71.4,71.4,0.887,88.7,0.739*,73.9,0.469,46.9,0.595,59.5,90.7,90.7,19.7,69.7,3.0,15.0,0.3,IFBench(reg)
7,gemini-3.8-flash,Yes,70.7,0.913,0.741,0.37,6.129,2.484,191.02,0.8,GitHub Copilot Max,100.0,2.0,0.5,https://github.com/features/copilot/plans,0.7379692847501259,Google,,,0.876,87.6,74.0,74.0,72.5,72.5,0.449,44.9,56.91*,56.9,54.2,54.2,81.4,81.4,0.813,81.3,0.738*,73.8,0.478,47.8,0.566,56.6,89.3,89.3,29.55,79.5,0.75,3.75,0.075,"BrowseComp(reg), IFBench(reg)"
8,gpt-5.6-sol,Yes,70.3,4.87,3.952,0.057,32.69,0.383,1233.89,0.8,ChatGPT Pro 20x,200.0,70.0,0.0143,https://chatgpt.com/pricing,1.249461174892833,OpenAI,,,0.88,88.0,73.0,73.0,83.9,83.9,0.443,44.3,59.01*,59.0,56.2,56.2,71.8,71.8,0.84,84.0,0.727,72.7,0.495,49.5,0.571,57.1,91.7,91.7,21.967,72.0,4.0,20.0,0.4,BrowseComp(reg)
9,grok-4.6,Yes,69.4,1.962,1.771,0.332,13.17,2.229,209.12,0.65,SuperGrok Heavy,300.0,5.3,0.1875,https://x.ai/pricing,1.253554997808662,xAI,,,0.884,88.4,67.0,67.0,76.8,76.8,0.507,50.7,59.85*,59.9,57.0,57.0,71.9,71.9,0.803,80.3,0.721*,72.1,0.429,42.9,0.565,56.5,90.5,90.5,30.483,80.5,2.0,6.0,0.5,"BrowseComp(reg), IFBench(reg)"
10,gemini-3.7-flash,Yes,68.7,0.913,0.741,0.37,6.129,2.484,185.67,0.8,GitHub Copilot Max,100.0,2.0,0.5,https://github.com/features/copilot/plans,0.54839610704485,Google,,,0.858,85.8,65.0,65.0,78.9,78.9,0.328,32.8,61.215*,61.2,58.3,58.3,79.9,79.9,0.817,81.7,0.737*,73.7,0.479,47.9,0.572,57.2,87.8,87.8,26.483,76.5,0.75,3.75,0.075,"BrowseComp(reg), IFBench(reg)"
11,gpt-5.5,Yes,67.6,6.838,5.69,0.081,45.901,0.544,835.09,0.8,ChatGPT Pro 20x,200.0,70.0,0.0143,https://chatgpt.com/pricing,,OpenAI,,,0.843,84.3,67.0,67.0,82.1,82.1,0.39,39.0,56.7*,56.7,54.0,54.0,70.7,70.7,0.843,84.3,0.759,75.9,0.458,45.8,0.557*,55.7,89.7,89.7,20.517,70.5,5.0,30.0,0.5,"BrowseComp(reg), SciCode(reg)"
12,glm-5.3,No,67.4,1.972,1.65,0.048,13.237,0.322,1403.63,0.7,GLM Coding Plan Max,149.7,34.4,0.029,https://bigmodel.cn/glm-coding,1.3820709139277163,Z.AI,,,0.839,83.9,69.0,69.0,79.0,79.0,0.503,50.3,63.945*,63.9,60.9,60.9,69.3,69.3,0.797,79.7,0.715*,71.5,0.423,42.3,0.59,59.0,85.8,85.8,14.3,64.3,2.1,6.6,0.21,"BrowseComp(reg), IFBench(reg)"
13,claude-opus-4.8,Yes,66.3,6.088,4.749,0.119,40.866,0.799,556.88,0.85,Claude Max 20x,200.0,40.0,0.025,https://claude.com/pricing,,Anthropic,,,0.846,84.6,59.0,59.0,81.8,81.8,0.342,34.2,53.025*,53.0,50.5,50.5,72.0,72.0,0.777,77.7,0.622,62.2,0.487,48.7,0.544,54.4,89.2,89.2,28.75,78.8,5.0,25.0,0.5,BrowseComp(reg)
14,muse-spark-1.2,Yes,65.7,1.232,1.139,1.139,8.27,7.646,57.68,0.6,,,,,,0.5453427004683264,Meta,,,0.801,80.1,55.0,55.0,77.5,77.5,0.348,34.8,60.48*,60.5,57.6,57.6,74.3,74.3,0.79,79.0,0.722*,72.2,0.455,45.5,0.574,57.4,90.0,90.0,27.2,77.2,1.25,4.25,0.15,"BrowseComp(reg), IFBench(reg)"
15,gpt-5.6-terra,Yes,65.3,3.763,3.133,0.045,25.26,0.302,1450.26,0.8,ChatGPT Pro 20x,200.0,70.0,0.0143,https://chatgpt.com/pricing,1.1334743191851508,OpenAI,,,0.88,88.0,70.0,70.0,78.2,78.2,0.402,40.2,57.645*,57.6,54.9,54.9,64.6,64.6,0.83,83.0,0.712,71.2,0.429,42.9,0.55,55.0,90.6,90.6,0.05,50.0,2.75,16.5,0.28,BrowseComp(reg)
16,claude-opus-4.7,Yes,64.9,6.088,4.749,0.119,40.866,0.799,545.16,0.85,Claude Max 20x,200.0,40.0,0.025,https://claude.com/pricing,,Anthropic,,,0.831,83.1,61.67*,61.7,82.1,82.1,0.346,34.6,53.235*,53.2,50.7,50.7,66.7,66.7,0.787,78.7,0.586,58.6,0.423,42.3,0.537*,53.7,87.2,87.2,27.267,77.3,5.0,25.0,0.5,"DeepSWE(reg), BrowseComp(reg), SciCode(reg)"
17,grok-4.5,Yes,64.7,1.877,1.661,0.311,12.6,2.088,207.95,0.65,SuperGrok Heavy,300.0,5.3,0.1875,https://x.ai/pricing,0.4341502157282232,xAI,,,0.816,81.6,54.0,54.0,68.6,68.6,0.421,42.1,59.325*,59.3,56.5,56.5,71.5,71.5,0.793,79.3,0.718*,71.8,0.427,42.7,0.55,55.0,87.2,87.2,25.317,75.3,2.0,6.0,0.3,"BrowseComp(reg), IFBench(reg)"
18,qwen3.8-max,Yes,64.6,1.856,1.559,1.041,12.459,6.988,62.03,0.7,OpenCode Go,10.0,6.0,0.668,https://opencode.ai/go,1.1876933515414076,Alibaba,,,0.813,81.3,57.0,57.0,72.9,72.9,0.513,51.3,67.83*,67.8,64.6,64.6,74.1,74.1,0.783,78.3,0.72*,72.0,0.43,43.0,0.532,53.2,88.2,88.2,3.4,53.4,2.0,6.0,0.25,"BrowseComp(reg), IFBench(reg)"
